date,contract,open,high,low,close,volume,open_interest
2020-01-01,IC2401,4422.72,4474.59,4396.19,4443.48,1834,169328
2020-01-01,IC2402,4950.37,5040.44,4904.72,4921.61,2412,87598
2020-01-01,IF2401,4813.87,4878.45,4714.75,4767.36,7564,163287
2020-01-01,IF2402,3046.3,3134.36,3023.11,3066.66,6440,133725
2020-01-01,IF2403,3341.88,3430.47,3326.18,3383.88,4868,188063
2020-01-01,IH2401,4124.19,4152.79,4112.65,4151.95,9591,126187
2020-01-02,IC2401,4509.9,4614.77,4461.52,4520.59,8391,161371
2020-01-02,IC2402,5040.79,5091.44,4984.11,5057.06,4477,182038
2020-01-02,IF2401,4934.13,5009.32,4889.19,4935.29,3503,148494
2020-01-02,IF2402,3052.37,3092.64,3027.62,3067.27,8800,94581
2020-01-02,IF2403,3485.63,3492.16,3444.48,3481.55,6459,192722
2020-01-02,IH2401,4263.01,4323.03,4218.76,4239.33,7315,146774
2020-01-03,IC2401,4543.73,4595.04,4510.09,4546.93,6818,172435
2020-01-03,IC2402,5067.32,5087.6,4991.14,5028.33,3922,76692
2020-01-03,IF2401,4932.86,5057.12,4881.5,4940.65,6771,177954
2020-01-03,IF2402,3105.85,3131.77,3088.54,3098.37,7261,102071
2020-01-03,IF2403,3509.13,3555.76,3505.29,3532.85,9009,194154
2020-01-03,IH2401,4276.17,4309.74,4215.63,4286.11,3824,192903
2020-01-06,IC2401,4687.59,4754.27,4638.64,4664.86,6061,142240
2020-01-06,IC2402,5021.16,5059.18,5004.06,5043.15,1374,112532
2020-01-06,IF2401,4945.7,4950.56,4930.6,4940.96,2452,165705
2020-01-06,IF2402,3129.41,3141.46,3120.07,3129.12,6620,134352
2020-01-06,IF2403,3430.79,3480.55,3421.05,3448.32,6524,174525
2020-01-06,IH2401,4170.35,4222.07,4165.79,4168.74,7315,91764
2020-01-07,IC2401,4604.81,4616.06,4565.2,4581.72,1510,70919
2020-01-07,IC2402,4984.62,5032.43,4924.5,4967.79,4808,178190
2020-01-07,IF2401,4883.6,4923.22,4814.49,4864.95,6629,78997
2020-01-07,IF2402,3106.86,3133.92,3094.36,3107.06,3889,169567
2020-01-07,IF2403,3620.3,3639.78,3572.15,3610.06,2272,84977
2020-01-07,IH2401,4236.21,4265.99,4223.95,4228.0,8977,183755
2020-01-08,IC2401,4668.77,4714.63,4650.14,4687.45,4321,131651
2020-01-08,IC2402,5020.18,5060.39,4990.45,5052.37,3085,155750
2020-01-08,IF2401,5003.53,5039.71,4904.87,4956.22,1300,134601
2020-01-08,IF2402,3066.08,3093.2,3038.01,3069.82,9299,87400
2020-01-08,IF2403,3636.69,3705.3,3620.11,3632.59,9461,173200
2020-01-08,IH2401,4142.56,4167.25,4109.66,4157.37,9190,81596
2020-01-09,IC2401,4640.91,4695.44,4636.66,4646.86,3854,114459
2020-01-09,IC2402,5070.35,5212.69,5016.68,5107.15,4710,131249
2020-01-09,IF2401,5074.49,5131.79,5038.56,5077.48,9029,63246
2020-01-09,IF2402,3068.98,3102.13,3057.79,3066.64,4519,117093
2020-01-09,IF2403,3607.7,3635.62,3531.81,3613.8,8312,192281
2020-01-09,IH2401,4212.55,4234.09,4157.69,4223.01,8025,70091
2020-01-10,IC2401,4661.53,4694.57,4615.27,4684.56,8985,75669
2020-01-10,IC2402,5203.36,5303.39,5156.12,5181.83,4653,103570
2020-01-10,IF2401,5067.05,5143.35,5039.92,5090.25,4897,136100
2020-01-10,IF2402,3147.41,3162.16,3083.27,3131.25,5056,121941
