合约,交易日,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交金额,结算价,前结算价,品种
IC2401,2020-01-01,3070.39,3154.05,3032.27,3084.81,2176,99881,6974247.89,3098.0,3037.7,IC
IC2402,2020-01-01,3968.98,3988.28,3926.02,3971.15,9996,192919,38441376.44,3964.9,3957.4,IC
IF2401,2020-01-01,3442.37,3460.55,3416.85,3439.12,8724,109728,29797330.97,3455.86,3387.1,IF
IF2402,2020-01-01,3831.41,3832.25,3828.42,3828.52,2248,132606,8208437.91,3828.95,3897.71,IF
IF2403,2020-01-01,3916.62,3975.34,3912.12,3934.57,4722,139017,19400688.76,3931.64,3939.54,IF
IH2401,2020-01-01,4757.72,4832.1,4712.01,4789.55,2387,96824,11183143.3,4766.08,4700.94,IH
IC2401,2020-01-02,3089.73,3144.66,3044.11,3097.09,1059,183898,3375515.73,3105.71,3081.59,IC
IC2402,2020-01-02,3987.53,4023.99,3968.18,3978.78,5921,77727,22890105.38,3973.67,3966.57,IC
IF2401,2020-01-02,3443.25,3452.34,3410.98,3419.12,6744,181564,23501030.24,3414.51,3440.82,IF
IF2402,2020-01-02,3941.57,3978.67,3906.97,3935.78,6075,96112,24488462.05,3923.98,3985.44,IF
IF2403,2020-01-02,3941.42,3957.76,3917.22,3923.46,3271,170455,12375787.02,3940.47,3974.93,IF
IH2401,2020-01-02,4854.89,4896.9,4803.77,4852.52,7954,112408,37974461.18,4834.56,4849.72,IH
IC2401,2020-01-03,3083.28,3134.32,3039.07,3050.4,7111,147406,21137466.72,3036.13,3079.42,IC
IC2402,2020-01-03,3881.35,3882.92,3865.8,3869.91,8122,141644,31505240.94,3877.97,3832.84,IC
IF2401,2020-01-03,3448.21,3481.86,3389.19,3415.44,5283,121459,17891038.62,3407.27,3432.15,IF
IF2402,2020-01-03,3904.15,3995.82,3880.92,3893.63,5234,135421,20471635.76,3905.45,3945.65,IF
IF2403,2020-01-03,3988.52,4029.27,3944.99,3977.78,1140,116623,4463039.95,3990.44,4035.09,IF
IH2401,2020-01-03,4870.02,4940.4,4866.93,4897.46,4039,154890,20335737.43,4891.56,4900.96,IH
IC2401,2020-01-06,3072.39,3073.78,3050.41,3053.53,1502,184199,4787731.53,3065.17,3025.67,IC
IC2402,2020-01-06,3828.21,3900.51,3786.34,3851.93,9116,59660,36702577.87,3864.16,3827.71,IC
IF2401,2020-01-06,3379.27,3436.73,3372.05,3404.7,9492,119789,31844597.28,3414.69,3364.14,IF
IF2402,2020-01-06,3917.48,3950.45,3883.05,3937.99,9706,94952,37561086.58,3927.69,3919.65,IF
IF2403,2020-01-06,3953.91,3980.36,3948.96,3950.67,4890,87127,20123428.18,3957.08,3883.75,IF
IH2401,2020-01-06,4807.48,4873.26,4800.46,4853.64,4729,160343,22029165.6,4865.76,4845.39,IH
IC2401,2020-01-07,3065.84,3108.02,3064.69,3066.07,3787,70375,11296328.71,3078.09,3129.71,IC
IC2402,2020-01-07,3881.52,3949.29,3864.54,3898.55,8868,191975,34592263.92,3893.74,3947.33,IC
IF2401,2020-01-07,3464.73,3484.11,3433.74,3444.22,1477,115869,5299455.21,3434.88,3449.35,IF
